"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.870010938E0,-2.585737705E-1,-8.714894056E-1,9.777919769E0
5.895051563E0,-3.256114423E-1,-8.810662031E-1,9.777919769E0
5.920003125E0,-3.160346150E-1,-9.002198577E-1,9.768342972E0
5.945000000E0,-3.160346150E-1,-9.002198577E-1,9.787496567E0
5.969995313E0,-2.873041928E-1,-8.714894056E-1,9.806650162E0
5.994993750E0,-2.777273953E-1,-8.906430602E-1,9.806650162E0
6.015015625E0,-2.873041928E-1,-9.097966552E-1,9.806650162E0
6.035048438E0,-2.873041928E-1,-9.289502501E-1,9.825803757E0
6.060001563E0,-2.873041928E-1,-9.002198577E-1,9.787496567E0
6.085000000E0,-2.873041928E-1,-8.810662031E-1,9.777919769E0
6.109995313E0,-2.968810201E-1,-8.906430602E-1,9.777919769E0
6.134992188E0,-3.064578176E-1,-8.810662031E-1,9.787496567E0
6.155014063E0,-3.256114423E-1,-8.714894056E-1,9.749189377E0
6.180010938E0,-3.256114423E-1,-9.097966552E-1,9.787496567E0
6.205007813E0,-3.064578176E-1,-9.481038451E-1,9.806650162E0
6.230003125E0,-3.064578176E-1,-9.289502501E-1,9.825803757E0
6.255000000E0,-2.585737705E-1,-8.331822157E-1,9.835380554E0
6.279995313E0,-2.873041928E-1,-8.331822157E-1,9.787496567E0
6.304993750E0,-2.777273953E-1,-8.714894056E-1,9.777919769E0
6.325015625E0,-2.777273953E-1,-8.810662031E-1,9.720458984E0
6.350010938E0,-3.160346150E-1,-9.289502501E-1,9.758766174E0
6.375007813E0,-3.064578176E-1,-9.002198577E-1,9.797073364E0
6.400004688E0,-3.160346150E-1,-8.906430602E-1,9.835380554E0
6.425001563E0,-2.777273953E-1,-9.097966552E-1,9.797073364E0
6.449996875E0,-2.777273953E-1,-9.193734527E-1,9.787496567E0
6.474993750E0,-2.585737705E-1,-8.810662031E-1,9.749189377E0
6.499990625E0,-3.064578176E-1,-8.714894056E-1,9.768342972E0
6.520012500E0,-3.351882398E-1,-8.523358107E-1,9.768342972E0
6.545009375E0,-3.351882398E-1,-8.523358107E-1,9.797073364E0
6.570004688E0,-3.160346150E-1,-9.097966552E-1,9.797073364E0
6.595003125E0,-2.777273953E-1,-8.810662031E-1,9.797073364E0
6.615029688E0,-2.968810201E-1,-9.002198577E-1,9.797073364E0
6.639989063E0,-3.160346150E-1,-9.193734527E-1,9.797073364E0
6.660010938E0,-2.777273953E-1,-9.002198577E-1,9.797073364E0
6.685009375E0,-2.873041928E-1,-8.810662031E-1,9.787496567E0
6.710004688E0,-2.777273953E-1,-8.906430602E-1,9.787496567E0
6.735000000E0,-2.873041928E-1,-8.810662031E-1,9.777919769E0
6.759996875E0,-3.256114423E-1,-8.810662031E-1,9.797073364E0
6.784995313E0,-3.160346150E-1,-8.810662031E-1,9.806650162E0
6.809990625E0,-3.256114423E-1,-8.810662031E-1,9.777919769E0
6.830012500E0,-3.160346150E-1,-8.906430602E-1,9.787496567E0
6.855007813E0,-2.968810201E-1,-8.906430602E-1,9.777919769E0
6.880006250E0,-3.160346150E-1,-9.002198577E-1,9.787496567E0
6.905003125E0,-2.968810201E-1,-9.289502501E-1,9.787496567E0
6.929998438E0,-2.681505978E-1,-8.810662031E-1,9.816226959E0
6.954995313E0,-2.873041928E-1,-8.331822157E-1,9.739612579E0
6.979992188E0,-3.160346150E-1,-9.193734527E-1,9.739612579E0
7.000014063E0,-2.968810201E-1,-9.481038451E-1,9.749189377E0
7.025010938E0,-3.064578176E-1,-8.714894056E-1,9.777919769E0
7.050006250E0,-3.160346150E-1,-8.619126081E-1,9.787496567E0
7.075003125E0,-3.160346150E-1,-9.193734527E-1,9.797073364E0
7.100000000E0,-2.777273953E-1,-8.427590132E-1,9.835380554E0
7.124996875E0,-2.489969730E-1,-7.661445141E-1,9.787496567E0
7.149992188E0,-2.681505978E-1,-8.810662031E-1,9.739612579E0
7.170015625E0,-3.064578176E-1,-9.576807022E-1,9.749189377E0
7.195012500E0,-2.873041928E-1,-9.385270476E-1,9.777919769E0
7.220007813E0,-3.160346150E-1,-8.810662031E-1,9.749189377E0
7.245004688E0,-3.447650373E-1,-8.714894056E-1,9.787496567E0
7.270000000E0,-3.543418646E-1,-8.714894056E-1,9.777919769E0
7.294996875E0,-3.160346150E-1,-8.906430602E-1,9.758766174E0
7.319993750E0,-2.873041928E-1,-8.619126081E-1,9.768342972E0
7.344990625E0,-2.681505978E-1,-8.810662031E-1,9.777919769E0
7.365012500E0,-2.585737705E-1,-8.906430602E-1,9.797073364E0
7.390009375E0,-2.681505978E-1,-8.714894056E-1,9.806650162E0
7.415009375E0,-2.777273953E-1,-8.810662031E-1,9.787496567E0
7.440001563E0,-2.777273953E-1,-9.097966552E-1,9.787496567E0
