"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.710006250E0,-6.597344577E-2,1.392772794E-1,5.057964325E-1
6.735001562E0,-2.761110961E-1,2.211332172E-1,5.106833577E-1
6.759998437E0,-4.838052690E-1,-6.230825558E-2,4.581489265E-1
6.784993750E0,-6.707300544E-1,-2.467895597E-1,2.663372457E-1
6.809990625E0,-3.457497358E-1,2.846632004E-1,1.001819000E-1
6.834987500E0,-2.089159042E-1,4.276056588E-1,2.003637999E-1
6.859984375E0,-2.064724565E-1,4.141666293E-1,2.712241709E-1
6.880006250E0,-3.298672140E-1,1.905899495E-1,1.661553383E-1
6.905001562E0,-6.475171447E-1,1.209513173E-1,-1.221730486E-1
6.930000000E0,-8.332201838E-1,-2.321287990E-2,-1.991420686E-1
6.950004687E0,-9.859364629E-1,2.565634064E-2,-1.502728462E-1
6.974985937E0,-1.028697014E0,1.637118906E-1,9.651670605E-2
6.999982812E0,-1.103222609E0,3.958406746E-1,2.174680233E-1
7.020006250E0,-1.056796908E0,5.766567588E-1,7.086037099E-2
7.045001562E0,-1.106887817E0,8.258898258E-1,-1.307251602E-1
7.070031250E0,-1.100779176E0,1.015258074E0,-2.687807083E-1
7.094993750E0,-1.161865711E0,7.269296050E-1,-3.506366313E-1
7.119990625E0,-1.178969860E0,6.206390858E-1,-4.410446882E-1
7.144987500E0,-1.207069755E0,6.682865620E-1,-3.701843321E-1
7.170000000E0,-1.125213742E0,3.836233616E-1,-2.150245607E-1
7.190006250E0,-1.318247199E0,4.324925840E-1,-1.075122803E-1
7.210018750E0,-1.352455616E0,8.307766914E-1,-8.063421398E-2
7.234993750E0,-1.407433510E0,1.144761443E0,-8.796459436E-2
7.259990625E0,-1.601688623E0,9.737191796E-1,-2.504547536E-1
7.284985937E0,-1.709200978E0,7.611380816E-1,-4.337143302E-1
7.309981250E0,-1.567480206E0,3.543018401E-1,-5.314527750E-1
7.330006250E0,-1.510058880E0,4.178318083E-1,-6.328563690E-1
7.355001562E0,-1.404990077E0,4.214970171E-1,-6.646213531E-1
7.380006250E0,-1.555262923E0,3.787364364E-1,-6.743952036E-1
7.404993750E0,-1.556484580E0,-1.380555481E-1,-7.073819637E-1
7.429990625E0,-1.017701507E0,7.965682745E-1,-7.293730974E-1
7.449995312E0,-1.012814522E0,7.061601877E-1,-7.562511563E-1
7.470004687E0,-1.127657175E0,2.443460971E-1,-7.892378569E-1
7.495000000E0,-1.086118340E0,1.588249579E-2,-7.269296050E-1
7.519996875E0,-7.831292152E-1,-5.729916096E-1,-4.544837475E-1
7.544993750E0,-6.621779203E-1,-6.548475623E-1,-3.970623910E-1
7.569990625E0,-3.152064681E-1,-5.412266254E-1,-2.345722467E-1
7.594985937E0,4.398229718E-2,-1.380555481E-1,-9.162978828E-2
7.619982812E0,1.441641897E-1,-1.637118906E-1,-8.185594529E-2
7.640006250E0,2.113593668E-1,-2.602286041E-1,-1.160643920E-1
7.665001562E0,4.349360466E-1,-2.724458873E-1,-4.398229718E-2
7.690023437E0,7.586946487E-1,-3.995058537E-1,-9.651670605E-2
7.714995312E0,8.710938096E-1,-5.546656251E-1,-1.710422635E-1
7.739990625E0,9.541714787E-1,-5.326744914E-1,-8.918632567E-2
7.764987500E0,9.993755221E-1,-6.352998614E-1,8.429940045E-2
7.789984375E0,1.055575132E0,-7.648032904E-1,1.979203373E-1
7.810006250E0,1.200961113E0,-8.625417352E-1,2.235766798E-1
7.835003125E0,1.317025423E0,-7.635815740E-1,1.869247556E-1
7.860000000E0,1.497841597E0,-8.747590184E-1,1.783726513E-1
7.884995312E0,1.599245191E0,-6.096435189E-1,1.014036313E-1
7.909996875E0,1.904677749E0,-7.648032904E-1,2.223549485E-1
7.934987500E0,2.007303238E0,-4.202752709E-1,2.712241709E-1
7.959984375E0,1.992642403E0,-2.199114859E-1,3.005456924E-1
7.984981250E0,1.887573600E0,-1.221730467E-2,2.993239760E-1
8.005003125E0,1.661553383E0,1.417207420E-1,2.736676335E-1
8.030000000E0,1.656666517E0,-1.649336070E-1,2.895501256E-1
8.050029687E0,1.382998943E0,-2.064724565E-1,2.138028294E-1
